Enemy,HP,MP,Attack,Defense,Magic,Speed,Level,Gold,EXP,Food1,Chance,Food2,chance,Food3,Chance,,,,,,,,,,,,,,,,
Mimit4,30,0,26,10,0,13,6,30,22,Mimit00,0,Mimit01,0,Mimit02,0,,,,,,,,,,,,,,,,
Slime0,10,0,7,7,0,6,1,0,9,Slime00,100,Slime01,0,Slime02,0,,,,,,,,,,,,,,,,
Butterfly0,11,0,10,9,0,11,1,5,2,Butterfly00,45,Butterfly01,5,Butterfly02,0,,,,,,,,,,,,,,,,
Butterfly0_1,18,0,12,9,14,6,1,5,2,Butterfly00,45,Butterfly01,5,Butterfly02,0,,,,,,,,,,,,,,,,
Butterfly0_2,18,0,12,9,14,6,1,5,2,Butterfly00,45,Butterfly01,5,Butterfly02,0,,,,,,,,,,,,,,,,
Goblin0,25,0,15,5,0,6,1,8,2,Goblin00,45,Goblin01,5,Goblin02,0,,,,,,,,,,,,,,,,
Goblin0_Dish,25,0,15,6,0,8,1,8,2,Goblin00,100,Goblin01,0,Goblin02,0,,,,,,,,,,,,,,,,
Mushroom0,34,0,23,12,1,0,13,2,12,5,Mushroom00,45,Mushroom01,5,Mushroom02,0,,,,,,,,,,,,,,,
Cloud0,23,0,4,2,9999,8,2,26,6,Cloud00,45,Cloud01,5,Cloud02,0,,,,,,,,,,,,,,,,
Mimit0,75,0,50,18,0,100,1,500,0,Mimit00,0,Mimit01,0,Mimit02,0,,,,,,,,,,,,,,,,
Rock1,68,0,19,10,0,11,7,0,35,Rock00,0,Rock01,80,Rock02,20,,,,,,,,,,,,,,,,
Butterfly4,35,0,15,10,0,6,7,0,10,Butterfly00,0,Butterfly01,80,Butterfly02,20,,,,,,,,,,,,,,,,
Devil6,230,0,33,18,14,18,7,0,40,Devil00,0,Devil01,80,Devil02,20,,,,,,,,,,,,,,,,
Mouse2,70,0,19,10,0,17,0,10,Mouse00,0,Mouse01,80,Mouse02,20,,,,,,,,,,,,,,,,,
Banshee0,45,0,30,18,0,15,4,38,16,Banshee00,45,Banshee01,5,Banshee02,0,,,,,,,,,,,,,,,,
Mole0,50,0,38,10,0,18,4,40,20,Mole00,45,Mole01,5,Mole02,0,,,,,,,,,,,,,,,,
Butterfly1,54,0,35,20,22,17,5,65,25,Butterfly00,45,Butterfly01,5,Butterfly02,0,,,,,,,,,,,,,,,,
Golem0,530,0,53,28,0,9,9,0,100,Golem00,0,Golem01,80,Golem02,20,,,,,,,,,,,,,,,,
Rock0,55,0,40,37,0,2,5,110,45,Rock00,45,Rock01,5,Rock02,0,,,,,,,,,,,,,,,,
Cloud1,75,0,50,19,23,11,5,126,32,Cloud00,45,Cloud01,5,Cloud02,0,,,,,,,,,,,,,,,,
Griffon0,370,0,52,15,0,12,8,170,120,Griffon00,10,Griffon01,40,Griffon02,0,,,,,,,,,,,,,,,,
Griffon0_Boss,530,0,58,23,0,10,8,0,120,Griffon00,0,Griffon01,80,Griffon02,20,,,,,,,,,,,,,,,,
EatPlant0,80,0,47,25,0,24,9,144,58,EatPlant00,30,EatPlant01,20,EatPlant02,5,,,,,,,,,,,,,,,,
Devil0,90,0,60,25,0,25,6,140,65,Devil00,45,Devil01,5,Devil02,0,,,,,,,,,,,,,,,,
Devil1_Boss,540,0,70,22,0,19,11,0,120,Devil00,0,Devil01,80,Devil02,20,,,,,,,,,,,,,,,,
GoblinMagic,65,0,53,25,25,13,7,153,72,Goblin00,45,Goblin01,5,Goblin02,0,,,,,,,,,,,,,,,,
Gorilla0,630,0,62,37,20,15,13,0,500,Gorilla00,0,Gorilla01,0,Gorilla02,100,,,,,,,,,,,,,,,,
Slime1,17,0,20,5,0,10,3,10,20,Slime00,13,Slime01,1,Slime02,0,,,,,,,,,,,,,,,,
Cactus0,21,0,16,7,0,20,2,13,13,Cactus00,45,Cactus01,5,Cactus02,0,,,,,,,,,,,,,,,,
Scorpion0,14,0,18,9,0,10,1,15,4,Scorpion00,45,Scorpion01,5,Scorpion02,0,,,,,,,,,,,,,,,,
Mural0,35,0,19,8,0,10,3,30,15,Hieroglyph00,45,Hieroglyph01,5,Hieroglyph02,0,,,,,,,,,,,,,,,,
Mural1,40,0,19,8,0,10,4,18,20,Hieroglyph00,45,Hieroglyph01,5,Hieroglyph02,0,,,,,,,,,,,,,,,,
Mole1,85,0,45,12,0,20,5,55,18,Mole00,45,Mole01,5,Mole02,0,,,,,,,,,,,,,,,,
Mimit7,75,0,43,29,0,100,11,0,0,Mimit00,60,Mimit01,30,Mimit02,10,,,,,,,,,,,,,,,,
Cobra1,50,0,28,13,0,15,4,30,30,Cobra00,45,Cobra01,5,Cobra02,0,,,,,,,,,,,,,,,,
Fossil0,50,30,26,12,0,17,5,45,20,Hieroglyph00,45,Hieroglyph01,5,Hieroglyph02,0,,,,,,,,,,,,,,,,
Fossil1,69,0,35,18,0,20,5,65,25,Hieroglyph00,45,Hieroglyph01,5,Hieroglyph02,0,,,,,,,,,,,,,,,,
GoblinRed,50,0,31,16,0,22,4,25,24,Goblin00,45,Goblin01,5,Goblin02,0,,,,,,,,,,,,,,,,
Minotaur0,460,35,55,22,21,20,10,300,250,Minotaur00,10,Minotaur01,40,Minotaur02,0,,,,,,,,,,,,,,,,
Minotaur0_Boss,320,0,35,20,16,16,10,0,250,Minotaur00,0,Minotaur01,80,Minotaur02,20,,,,,,,,,,,,,,,,
Scorpion1,50,0,45,23,0,12,1,85,26,Scorpion00,45,Scorpion01,5,Scorpion02,0,,,,,,,,,,,,,,,,
Hieroglyph0,45,0,40,20,100,35,7,120,25,Hieroglyph00,45,Hieroglyph01,5,Hieroglyph02,0,,,,,,,,,,,,,,,,
Mummy0,90,0,35,24,9,27,10,80,41,Mummy00,45,Mummy01,5,Mummy02,0,,,,,,,,,,,,,,,,
Painting0,420,0,53,29,15,30,9,100,300,Painting00,0,Painting01,80,Painting02,20,,,,,,,,,,,,,,,,
Cobra2,70,0,42,10,24,0,10,160,45,Cobra00,45,Cobra01,5,Cobra02,0,,,,,,,,,,,,,,,,
Rock2,90,0,52,24,0,24,8,103,42,Rock00,45,Rock01,5,Rock02,0,,,,,,,,,,,,,,,,
Shield0,480,0,40,28,0,14,10,0,150,Shield00,0,Shield01,80,Shield02,20,,,,,,,,,,,,,,,,
Sword0,420,0,55,23,0,14,10,0,150,Sword00,0,Sword01,80,Sword02,20,,,,,,,,,,,,,,,,
Pharaoh0,1090,0,64,40,0,16,13,0,500,Pharaoh00,0,Pharaoh01,0,Pharaoh02,100,,,,,,,,,,,,,,,,
