1,10,2,
2,40,8,
3,100,20,
4,190,38,
5,310,62,
6,490,98,
7,730,146,
8,1050,210,
9,1470,294,
10,2000,400,
11,2670,534,
12,3510,702,
13,4550,910,
14,5800,1160,
15,7310,1462,
16,9110,1822,
17,11240,2248,
18,13740,2748,
19,16640,3328,
20,20000,4000,
21,23860,4772,
22,28270,5654,
23,33270,6654,
24,38940,7788,
25,45310,9062,
26,45310,9062,
27,45310,9062,
28,45310,9062,
29,45310,9062,
30,45310,9062,
31,48430,9686,
32,54100,10820,
33,60210,12042,
34,66790,13358,
35,73850,14770,
36,81410,16282,
37,89490,17898,
38,98100,19620,
39,107250,21450,
40,116960,23392,
41,127240,23392,
42,138100,23392,
43,149550,23392,
44,161610,23392,
45,174280,23392,
46,187560,23392,
47,216780,23392,
48,249250,23392,
49,285230,23392,
50,0,23392,
